"Label (Grouping)","Congressional District 1 (116th Congress), Georgia!!Total!!Estimate","Congressional District 1 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 1 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Male!!Estimate","Congressional District 1 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 1 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Female!!Estimate","Congressional District 1 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 1 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Total!!Estimate","Congressional District 2 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 2 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Male!!Estimate","Congressional District 2 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 2 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Female!!Estimate","Congressional District 2 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 2 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Total!!Estimate","Congressional District 3 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 3 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Male!!Estimate","Congressional District 3 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 3 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Female!!Estimate","Congressional District 3 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 3 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Total!!Estimate","Congressional District 4 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 4 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Male!!Estimate","Congressional District 4 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 4 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Female!!Estimate","Congressional District 4 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 4 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Total!!Estimate","Congressional District 5 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 5 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Male!!Estimate","Congressional District 5 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 5 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Female!!Estimate","Congressional District 5 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 5 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Total!!Estimate","Congressional District 6 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 6 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Male!!Estimate","Congressional District 6 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 6 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Female!!Estimate","Congressional District 6 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 6 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Total!!Estimate","Congressional District 7 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 7 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Male!!Estimate","Congressional District 7 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 7 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Female!!Estimate","Congressional District 7 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 7 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Total!!Estimate","Congressional District 8 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 8 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Male!!Estimate","Congressional District 8 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 8 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Female!!Estimate","Congressional District 8 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 8 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Total!!Estimate","Congressional District 9 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 9 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Male!!Estimate","Congressional District 9 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 9 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Female!!Estimate","Congressional District 9 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 9 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Total!!Estimate","Congressional District 10 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 10 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Male!!Estimate","Congressional District 10 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 10 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Female!!Estimate","Congressional District 10 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 10 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Total!!Estimate","Congressional District 11 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 11 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Male!!Estimate","Congressional District 11 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 11 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Female!!Estimate","Congressional District 11 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 11 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Total!!Estimate","Congressional District 12 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 12 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Male!!Estimate","Congressional District 12 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 12 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Female!!Estimate","Congressional District 12 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 12 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Total!!Estimate","Congressional District 13 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 13 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Male!!Estimate","Congressional District 13 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 13 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Female!!Estimate","Congressional District 13 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 13 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Total!!Estimate","Congressional District 14 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 14 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Male!!Estimate","Congressional District 14 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 14 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Female!!Estimate","Congressional District 14 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 14 (116th Congress), Georgia!!Percent Female!!Margin of Error"
"        40 to 44 years","49,881","±4,364","6.5%","±0.6","25,008","±2,936","6.7%","±0.8","24,873","±2,716","6.4%","±0.7","40,780","±3,807","6.1%","±0.6","20,587","±2,701","6.3%","±0.8","20,193","±2,183","5.8%","±0.6","47,822","±4,343","6.2%","±0.5","22,679","±3,019","6.0%","±0.8","25,143","±2,800","6.3%","±0.7","52,956","±6,321","6.8%","±0.8","23,749","±3,592","6.5%","±0.9","29,207","±4,053","7.1%","±1.0","54,558","±4,633","6.9%","±0.6","26,385","±3,129","6.9%","±0.8","28,173","±3,227","6.9%","±0.8","53,205","±4,973","7.0%","±0.6","25,274","±2,901","6.8%","±0.7","27,931","±3,318","7.2%","±0.8","69,166","±5,478","8.1%","±0.6","32,771","±3,386","7.8%","±0.8","36,395","±3,355","8.4%","±0.8","48,055","±4,039","6.7%","±0.6","24,438","±3,167","6.9%","±0.9","23,617","±2,990","6.5%","±0.8","46,841","±3,202","5.8%","±0.4","23,195","±2,318","5.8%","±0.6","23,646","±2,038","5.8%","±0.5","49,070","±4,764","6.1%","±0.6","22,553","±3,033","5.7%","±0.7","26,517","±3,263","6.6%","±0.8","58,142","±4,620","7.2%","±0.6","31,074","±3,164","7.9%","±0.8","27,068","±3,231","6.5%","±0.8","47,549","±4,242","6.4%","±0.6","22,811","±2,829","6.1%","±0.7","24,738","±2,760","6.7%","±0.7","50,048","±5,915","6.3%","±0.7","20,770","±3,513","5.5%","±0.9","29,278","±3,811","7.0%","±0.9","46,472","±4,394","6.3%","±0.6","21,443","±2,699","5.9%","±0.7","25,029","±3,017","6.7%","±0.8"
"        45 to 49 years","41,453","±2,883","5.4%","±0.4","20,314","±1,899","5.4%","±0.5","21,139","±1,597","5.4%","±0.4","39,196","±3,077","5.8%","±0.5","19,409","±2,261","5.9%","±0.7","19,787","±1,855","5.7%","±0.5","49,464","±3,448","6.4%","±0.5","24,213","±2,300","6.4%","±0.6","25,251","±2,225","6.4%","±0.6","52,346","±3,522","6.7%","±0.4","24,947","±2,616","6.8%","±0.7","27,399","±2,369","6.7%","±0.6","46,423","±3,782","5.9%","±0.5","23,972","±2,485","6.2%","±0.6","22,451","±2,761","5.5%","±0.7","56,073","±4,038","7.4%","±0.5","28,021","±2,419","7.5%","±0.6","28,052","±2,571","7.2%","±0.7","66,324","±4,122","7.7%","±0.5","30,985","±2,655","7.4%","±0.6","35,339","±2,475","8.1%","±0.6","38,836","±2,678","5.4%","±0.4","17,556","±1,973","5.0%","±0.6","21,280","±2,116","5.8%","±0.6","49,244","±2,440","6.1%","±0.3","23,461","±1,211","5.9%","±0.3","25,783","±1,782","6.3%","±0.4","50,532","±4,673","6.3%","±0.5","25,156","±3,156","6.3%","±0.7","25,376","±2,612","6.3%","±0.6","55,360","±3,295","6.9%","±0.4","27,302","±2,201","7.0%","±0.5","28,058","±2,259","6.7%","±0.5","45,199","±3,320","6.1%","±0.4","21,157","±2,135","5.6%","±0.6","24,042","±2,275","6.5%","±0.6","49,190","±3,110","6.2%","±0.4","20,990","±2,622","5.6%","±0.7","28,200","±2,743","6.7%","±0.6","48,041","±2,780","6.5%","±0.4","24,798","±1,763","6.8%","±0.5","23,243","±1,868","6.2%","±0.5"
"        50 to 54 years","43,913","±2,592","5.7%","±0.3","21,933","±2,113","5.9%","±0.6","21,980","±1,518","5.6%","±0.4","39,174","±2,710","5.8%","±0.4","18,507","±1,679","5.6%","±0.5","20,667","±2,017","6.0%","±0.6","51,045","±3,211","6.6%","±0.4","24,063","±1,930","6.4%","±0.5","26,982","±2,272","6.8%","±0.6","57,393","±3,972","7.4%","±0.5","25,928","±2,371","7.1%","±0.6","31,465","±2,489","7.7%","±0.6","47,381","±3,755","6.0%","±0.5","24,146","±2,561","6.3%","±0.6","23,235","±2,727","5.7%","±0.7","53,389","±3,644","7.0%","±0.5","26,506","±2,647","7.1%","±0.7","26,883","±2,131","6.9%","±0.5","60,482","±3,218","7.1%","±0.4","30,443","±1,849","7.2%","±0.4","30,039","±2,130","6.9%","±0.5","41,886","±2,303","5.8%","±0.3","21,321","±1,564","6.1%","±0.5","20,565","±1,434","5.6%","±0.4","56,208","±2,229","7.0%","±0.3","29,899","±1,568","7.5%","±0.4","26,309","±1,503","6.4%","±0.4","51,298","±4,729","6.4%","±0.6","25,323","±2,592","6.4%","±0.7","25,975","±3,182","6.4%","±0.8","58,215","±3,326","7.2%","±0.4","29,058","±2,400","7.4%","±0.6","29,157","±1,951","7.0%","±0.5","45,177","±3,637","6.1%","±0.5","22,637","±2,690","6.0%","±0.7","22,540","±2,221","6.1%","±0.6","56,135","±4,279","7.1%","±0.5","26,798","±2,577","7.2%","±0.7","29,337","±2,915","7.0%","±0.7","49,467","±2,554","6.7%","±0.3","23,456","±1,434","6.5%","±0.4","26,011","±1,817","7.0%","±0.5"
"        55 to 59 years","45,735","±3,445","6.0%","±0.4","22,306","±2,164","6.0%","±0.6","23,429","±2,264","6.0%","±0.6","41,946","±3,052","6.2%","±0.5","19,938","±2,047","6.1%","±0.6","22,008","±2,184","6.4%","±0.7","52,354","±3,289","6.8%","±0.4","25,317","±2,414","6.7%","±0.6","27,037","±2,120","6.8%","±0.5","48,359","±4,770","6.2%","±0.6","21,840","±3,015","6.0%","±0.8","26,519","±3,104","6.5%","±0.7","42,717","±4,352","5.4%","±0.5","20,850","±2,903","5.4%","±0.7","21,867","±2,866","5.4%","±0.7","52,337","±4,780","6.9%","±0.6","25,045","±3,044","6.7%","±0.8","27,292","±2,774","7.0%","±0.7","56,641","±3,873","6.6%","±0.5","28,322","±2,474","6.7%","±0.6","28,319","±3,034","6.5%","±0.7","44,190","±3,668","6.2%","±0.5","22,149","±2,465","6.3%","±0.7","22,041","±2,495","6.0%","±0.7","53,207","±3,304","6.6%","±0.4","26,243","±2,334","6.6%","±0.6","26,964","±2,464","6.6%","±0.6","51,802","±4,028","6.5%","±0.5","24,787","±2,353","6.2%","±0.6","27,015","±2,570","6.7%","±0.6","50,183","±4,294","6.2%","±0.5","25,480","±3,008","6.5%","±0.7","24,703","±2,588","5.9%","±0.6","42,569","±2,728","5.7%","±0.4","20,766","±1,884","5.5%","±0.5","21,803","±1,988","5.9%","±0.5","51,335","±3,899","6.5%","±0.5","23,598","±2,682","6.3%","±0.7","27,737","±2,813","6.6%","±0.7","45,985","±3,770","6.2%","±0.5","24,300","±2,561","6.7%","±0.7","21,685","±2,293","5.8%","±0.6"
"        60 to 64 years","45,186","±3,310","5.9%","±0.4","19,807","±1,941","5.3%","±0.5","25,379","±2,072","6.5%","±0.5","43,350","±2,787","6.4%","±0.4","21,006","±1,893","6.4%","±0.6","22,344","±2,118","6.5%","±0.6","46,043","±3,217","6.0%","±0.4","20,984","±2,149","5.6%","±0.6","25,059","±2,104","6.3%","±0.5","50,820","±4,344","6.6%","±0.6","24,224","±2,563","6.6%","±0.7","26,596","±2,812","6.5%","±0.7","40,331","±4,706","5.1%","±0.6","18,410","±2,889","4.8%","±0.7","21,921","±2,989","5.4%","±0.7","44,800","±4,028","5.9%","±0.5","22,740","±2,450","6.1%","±0.7","22,060","±2,531","5.7%","±0.7","49,101","±4,197","5.7%","±0.5","23,123","±2,880","5.5%","±0.7","25,978","±3,158","6.0%","±0.7","45,474","±3,286","6.3%","±0.5","20,193","±2,501","5.7%","±0.7","25,281","±2,246","6.9%","±0.6","55,156","±3,790","6.8%","±0.5","26,225","±2,301","6.6%","±0.6","28,931","±2,614","7.1%","±0.6","46,098","±3,902","5.8%","±0.5","22,918","±2,694","5.8%","±0.7","23,180","±2,208","5.7%","±0.6","50,521","±4,705","6.3%","±0.6","24,769","±2,808","6.3%","±0.7","25,752","±3,000","6.2%","±0.7","47,132","±3,241","6.3%","±0.4","21,996","±2,083","5.9%","±0.6","25,136","±2,170","6.8%","±0.6","46,845","±4,555","5.9%","±0.6","23,419","±3,293","6.3%","±0.9","23,426","±2,925","5.6%","±0.7","46,309","±3,667","6.3%","±0.5","20,782","±2,459","5.7%","±0.7","25,527","±2,304","6.8%","±0.6"
"        65 to 69 years","38,591","±2,518","5.0%","±0.3","17,137","±1,739","4.6%","±0.5","21,454","±1,846","5.5%","±0.5","38,873","±2,690","5.8%","±0.4","17,273","±1,803","5.3%","±0.5","21,600","±1,782","6.3%","±0.5","42,275","±3,018","5.5%","±0.4","21,167","±2,049","5.6%","±0.6","21,108","±1,927","5.3%","±0.5","39,453","±4,192","5.1%","±0.6","18,149","±2,508","5.0%","±0.7","21,304","±2,733","5.2%","±0.7","33,722","±3,142","4.3%","±0.4","15,451","±2,008","4.0%","±0.5","18,271","±2,182","4.5%","±0.5","32,775","±3,649","4.3%","±0.5","15,410","±2,133","4.1%","±0.6","17,365","±2,234","4.5%","±0.6","33,247","±3,505","3.9%","±0.4","15,537","±2,070","3.7%","±0.5","17,710","±2,141","4.1%","±0.5","36,505","±2,829","5.1%","±0.4","16,800","±1,853","4.8%","±0.5","19,705","±1,815","5.4%","±0.5","52,738","±3,224","6.5%","±0.4","24,882","±1,895","6.3%","±0.5","27,856","±2,136","6.8%","±0.5","40,563","±2,736","5.1%","±0.3","17,315","±1,929","4.4%","±0.5","23,248","±2,045","5.8%","±0.5","39,151","±2,848","4.8%","±0.3","17,217","±1,910","4.4%","±0.5","21,934","±1,961","5.3%","±0.5","41,280","±2,628","5.6%","±0.4","19,377","±1,532","5.2%","±0.4","21,903","±1,887","6.0%","±0.5","36,049","±3,422","4.5%","±0.4","17,744","±2,025","4.7%","±0.6","18,305","±2,374","4.3%","±0.6","38,308","±2,494","5.2%","±0.3","17,259","±1,544","4.8%","±0.4","21,049","±1,741","5.6%","±0.5"
"        70 to 74 years","36,528","±2,437","4.8%","±0.3","17,546","±1,591","4.7%","±0.4","18,982","±1,833","4.9%","±0.5","30,675","±2,601","4.6%","±0.4","13,718","±1,581","4.2%","±0.5","16,957","±1,941","4.9%","±0.6","33,903","±3,062","4.4%","±0.4","15,045","±2,252","4.0%","±0.6","18,858","±1,704","4.7%","±0.4","32,740","±3,706","4.2%","±0.5","13,310","±2,042","3.6%","±0.5","19,430","±2,435","4.7%","±0.6","27,671","±2,875","3.5%","±0.4","11,308","±1,605","2.9%","±0.4","16,363","±2,024","4.0%","±0.5","28,889","±3,317","3.8%","±0.4","14,257","±2,187","3.8%","±0.6","14,632","±2,024","3.8%","±0.5","27,997","±2,357","3.3%","±0.3","12,604","±1,627","3.0%","±0.4","15,393","±1,790","3.5%","±0.4","34,775","±2,952","4.8%","±0.4","15,519","±2,107","4.4%","±0.6","19,256","±1,756","5.3%","±0.5","40,992","±3,310","5.1%","±0.4","20,047","±1,870","5.0%","±0.5","20,945","±1,996","5.1%","±0.5","34,936","±2,779","4.4%","±0.4","17,660","±1,886","4.5%","±0.5","17,276","±1,814","4.3%","±0.4","32,640","±3,043","4.0%","±0.4","14,038","±1,863","3.6%","±0.5","18,602","±2,281","4.5%","±0.5","30,746","±2,627","4.1%","±0.4","13,360","±1,384","3.6%","±0.4","17,386","±1,849","4.7%","±0.5","27,684","±3,047","3.5%","±0.4","10,204","±1,592","2.7%","±0.4","17,480","±2,340","4.2%","±0.5","33,235","±2,656","4.5%","±0.4","15,614","±1,699","4.3%","±0.5","17,621","±1,867","4.7%","±0.5"
"        75 to 79 years","23,015","±2,036","3.0%","±0.3","9,475","±1,261","2.5%","±0.3","13,540","±1,605","3.5%","±0.4","18,080","±1,893","2.7%","±0.3","7,973","±1,208","2.4%","±0.4","10,107","±1,300","2.9%","±0.4","20,897","±2,107","2.7%","±0.3","8,887","±1,253","2.4%","±0.3","12,010","±1,499","3.0%","±0.4","18,761","±2,306","2.4%","±0.3","7,483","±1,200","2.1%","±0.3","11,278","±1,796","2.7%","±0.4","16,263","±2,145","2.1%","±0.3","5,855","±1,308","1.5%","±0.3","10,408","±1,601","2.6%","±0.4","17,286","±2,451","2.3%","±0.3","7,958","±1,344","2.1%","±0.4","9,328","±1,721","2.4%","±0.4","15,374","±1,954","1.8%","±0.2","5,897","±1,183","1.4%","±0.3","9,477","±1,403","2.2%","±0.3","21,011","±1,665","2.9%","±0.2","9,685","±1,141","2.7%","±0.3","11,326","±1,404","3.1%","±0.4","31,302","±2,551","3.9%","±0.3","13,884","±1,458","3.5%","±0.4","17,418","±1,758","4.3%","±0.4","23,852","±2,251","3.0%","±0.3","9,584","±1,436","2.4%","±0.4","14,268","±1,588","3.5%","±0.4","21,430","±2,646","2.7%","±0.3","10,467","±1,187","2.7%","±0.3","10,963","±2,062","2.6%","±0.5","17,416","±1,982","2.3%","±0.3","7,447","±1,108","2.0%","±0.3","9,969","±1,514","2.7%","±0.4","13,953","±1,987","1.8%","±0.2","6,081","±1,336","1.6%","±0.4","7,872","±1,375","1.9%","±0.3","20,372","±2,222","2.8%","±0.3","9,266","±1,499","2.6%","±0.4","11,106","±1,328","3.0%","±0.4"
"        80 to 84 years","13,901","±1,731","1.8%","±0.2","5,668","±1,194","1.5%","±0.3","8,233","±1,392","2.1%","±0.4","11,069","±1,367","1.6%","±0.2","3,939","±840","1.2%","±0.3","7,130","±1,061","2.1%","±0.3","14,006","±1,619","1.8%","±0.2","5,546","±966","1.5%","±0.3","8,460","±1,320","2.1%","±0.3","10,595","±1,827","1.4%","±0.2","4,966","±1,083","1.4%","±0.3","5,629","±1,408","1.4%","±0.3","11,058","±1,604","1.4%","±0.2","5,815","±1,087","1.5%","±0.3","5,243","±1,163","1.3%","±0.3","10,988","±1,621","1.4%","±0.2","3,845","±916","1.0%","±0.2","7,143","±1,231","1.8%","±0.3","9,591","±1,589","1.1%","±0.2","4,119","±845","1.0%","±0.2","5,472","±1,082","1.3%","±0.2","11,646","±1,861","1.6%","±0.3","4,052","±879","1.2%","±0.2","7,594","±1,314","2.1%","±0.4","16,867","±1,977","2.1%","±0.2","7,511","±1,185","1.9%","±0.3","9,356","±1,411","2.3%","±0.3","11,504","±1,654","1.4%","±0.2","5,343","±1,120","1.3%","±0.3","6,161","±1,221","1.5%","±0.3","11,842","±1,727","1.5%","±0.2","4,313","±1,030","1.1%","±0.3","7,529","±1,519","1.8%","±0.4","13,117","±1,744","1.8%","±0.2","4,894","±1,167","1.3%","±0.3","8,223","±1,165","2.2%","±0.3","8,860","±2,005","1.1%","±0.3","3,067","±1,028","0.8%","±0.3","5,793","±1,412","1.4%","±0.3","15,300","±2,343","2.1%","±0.3","6,786","±1,452","1.9%","±0.4","8,514","±1,438","2.3%","±0.4"
"        85 years and over","10,399","±1,848","1.4%","±0.2","5,105","±1,416","1.4%","±0.4","5,294","±1,099","1.4%","±0.3","12,025","±1,711","1.8%","±0.3","3,196","±793","1.0%","±0.2","8,829","±1,308","2.6%","±0.4","11,615","±1,362","1.5%","±0.2","4,815","±836","1.3%","±0.2","6,800","±1,115","1.7%","±0.3","9,409","±1,902","1.2%","±0.2","2,596","±782","0.7%","±0.2","6,813","±1,605","1.7%","±0.4","7,641","±1,534","1.0%","±0.2","2,074","±805","0.5%","±0.2","5,567","±1,240","1.4%","±0.3","9,746","±1,992","1.3%","±0.3","4,355","±1,310","1.2%","±0.4","5,391","±1,257","1.4%","±0.3","8,761","±1,887","1.0%","±0.2","3,498","±1,022","0.8%","±0.2","5,263","±1,316","1.2%","±0.3","10,630","±1,427","1.5%","±0.2","3,895","±918","1.1%","±0.3","6,735","±1,155","1.8%","±0.3","10,690","±1,527","1.3%","±0.2","4,385","±1,064","1.1%","±0.3","6,305","±1,065","1.5%","±0.3","11,720","±2,098","1.5%","±0.3","4,763","±1,084","1.2%","±0.3","6,957","±1,533","1.7%","±0.4","8,838","±1,578","1.1%","±0.2","2,399","±780","0.6%","±0.2","6,439","±1,470","1.5%","±0.4","10,931","±1,712","1.5%","±0.2","4,626","±1,049","1.2%","±0.3","6,305","±1,093","1.7%","±0.3","8,027","±1,791","1.0%","±0.2","2,615","±830","0.7%","±0.2","5,412","±1,451","1.3%","±0.3","8,958","±1,445","1.2%","±0.2","3,368","±930","0.9%","±0.3","5,590","±954","1.5%","±0.3"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
